Q1492770	galvanizador	galvanizadora
Q1524582	ganadero	ganadera
Q19280221	gastroenterólogo	gastroenteróloga
Q24203053	gastrónomo	gastrónoma
Q82723	geisha	geisha
Q16738642	gemólogo	gemóloga
Q8963721	genealogista	genealogista
Q3126128	genetista	genetista
Q19961388	geobotánico	geobotánica
Q11699606	geodesta	geodesta
Q18545995	geoecólogo	geoecóloga
Q16335117	geofísico	geofísica
Q901402	geógrafo	geógrafa
Q33272459	geohistoriador	geohistoriadora
Q520549	geólogo	geóloga
Q16947320	geopolítico	geopolítica
Q16335312	geoquímico	geoquímica
Q832136	gerente	gerente
Q2580327	geriatra	geriatra
Q2599593	germanista	germanista
Q20107384	gerontólogo	gerontóloga
Q16947675	gimnasta	gimnasta
Q2640827	ginecólogo	ginecóloga
Q15623737	glaciólogo	glacióloga
Q5880759	glaucomatólogo	glaucomatóloga
Q3109488	gnomonicista	gnomonicista
Q132050	gobernador	gobernadora
Q1097498	gobernante	gobernante
Q862488	gogó	gogó
Q11303721	golfista	golfista
Q10860242	gorila	gorila
Q11569986	grabador	grabadora
Q329439	grabador	grabadora
Q680928	guarda	guarda
Q1479935	guardabosques	guardabosques
Q851436	guardaespaldas	guardaespaldas
Q1766113	guardafaro	guardafaro
Q5887288	guardavía	guardavía
Q1250916	guerrero	guerrera
Q28389	guionista	guionista
Q855091	guitarrista	guitarrista
Q484260	gurú	gurú
Q1487	hacker	hacker
Q5637247	hacker	hacker
Q2798820	hacker	hacker
Q17166634	hagiógrafo	hagiógrafa
Q13381376	halterófilo	halterófila
Q1552579	handyman	handyman
Q4988856	hebraísta	hebraísta
Q19967350	helenista	helenista
Q3144914	hematólogo	hematóloga
Q516463	heraldista	heraldista
Q3133901	herborista	herborista
Q16271064	herpetólogo	herpetóloga
Q694579	herrador	herradora
Q16003980	hidrobiólogo	hidrobióloga
Q15864580	hidrógrafo	hidrógrafa
Q3644587	hidrólogo	hidróloga
Q36645202	higienista	higienista
Q16747019	hipnoterapeuta	hipnoterapeuta
Q16746942	hipnotizador	hipnotizadora
Q2505739	hispanista	hispanista
Q2552072	histólogo	históloga
Q201788	historiador	historiadora
Q715301	historietista	historietista
Q852718	hojalatero	hojalatera
Q12020057	homeópata	homeópata
Q11690405	hooligan	hooligan
Q3140857	horticultor	horticultora
Q1550885	hospitalero	hospitalera
Q2540173	hostelero	hostelera
Q28819457	humanista	humanista
Q22336956	humanitario	humanitaria
Q12406482	humorista	humorista
Q41322966	iconógrafo	iconógrafa
Q4199058	iconógrafo	iconógrafa
Q4205432	ictiólogo	ictióloga
Q998628	iluminador	iluminadora
Q1658894	ilusionista	ilusionista
Q644687	ilustrador	ilustradora
Q47458415	imaginero	imaginera
Q1148872	imitador	imitadora
Q1413522	impostor	impostora
Q17379560	impostor	impostora
Q175151	impresor	impresora
Q3149505	improvisador	improvisadora
Q9008257	incendiario	incendiaria
Q10301984	indigenista	indigenista
Q16267985	indoeuropeísta	indoeuropeísta
Q18524037	indólogo	indóloga
Q6606110	industrial	industrial
Q1364673	informante	informante
Q81096	ingeniero	ingeniera
Q15634285	inmunólogo	inmunóloga
Q3492227	innovador	innovadora
Q1664338	inquisidor	inquisidora
Q27214348	inspector	inspectora
Q16358610	instructor	instructora
Q1278335	instrumentalista	instrumentalista
Q3976153	instrumentista	instrumentista
Q58968	intelectual	intelectual
Q2581971	intensivista	intensivista
Q15976715	interlingüista	interlingüista
Q775318	internauta	internauta
Q15924224	internista	internista
Q11085831	intérprete	intérprete
Q205375	inventor	inventora
Q557880	inversor	inversora
Q1650915	investigador	investigadora
Q30093123	investigador	investigadora
Q16832248	iranólogo	iranóloga
Q16266505	irenólogo	irenóloga
Q3155377	islamólogo	islamóloga
Q15991218	japonólogo	japonóloga
Q846750	jockey	jockey
Q336221	joyero	joyera
Q4197743	jugador	jugadora
Q9017214	karateka	karateka
Q16004471	kayakista	kayakista
Q11296761	kickboxer	kickboxer
Q23702859	kinesioterapeuta	kinesioterapeuta
Q3562775	ladrón	ladrona
Q17319698	lapidario	lapidaria
Q17598791	latinista	latinista
Q16334430	latinoamericanista	latinoamericanista
Q16624872	lavandera	lavandera
Q1934482	lechera	lechera
Q4175034	legislador	legisladora
Q497294	lepidopterólogo	lepidopteróloga
Q822146	letrista	letrista
Q658404	letrista	letrista
Q14972848	lexicógrafo	lexicógrafa
Q16314361	lexicólogo	lexicóloga
Q47492833	libertario	libertaria
Q998550	librero	librera
Q8178443	libretista	libretista
Q17269204	limnólogo	limnóloga
Q1760141	limpiador	limpiadora
Q14467526	lingüista	lingüista
Q47010447	linotipista	linotipista
Q15924544	liquenólogo	liquenóloga
Q11986654	lobista	lobista
Q1371925	locutor	locutora
Q14565331	lógico	lógica
Q3258041	logístico	logística
Q11762416	logopeda	logopeda
Q19595175	luchador	luchadora
Q27978698	luchador	luchadora
Q13382981	luger	luger
Q27317265	lusitanista	lusitanista
Q1284709	maestro	maestra
Q4594605	magistrado	magistrada
Q911554	magnate	magnate
Q16271261	malacólogo	malacóloga
Q1320883	mánager	mánager
Q19723482	mandolinista	mandolinista
Q747493	manicura	manicura
Q935666	maquillador	maquilladora
Q2775569	maquinista	maquinista
Q3274496	maquinista	maquinista
Q196721	maquinista	maquinista
Q13382460	maratonista	maratonista
Q45199	marinero	marina
Q16102070	marineoffizier	marineoffizier
Q2215100	marinero	marinera
Q19828330	marxólogo	marxóloga
Q6005272	masajista	masajista
Q16831394	mastozoólogo	mastozoóloga
Q2412523	matador	matadora
Q170790	matemático	matemática
Q185196	matrona	matrona
Q2109655	mayista	mayista
Q327029	mecánico	mecánica
Q17319653	mecanógrafo	mecanógrafa
Q15472169	mecenas	mecenas
Q39631	médico	médica
Q3332711	medievalista	medievalista
Q13381753	mediofondista	mediofondista
Q21625815	melómano	melómana
Q11774156	memorialista	memorialista
Q2588761	menestral	menestral
Q848466	mensajero	mensajera
Q19805041	mentalista	mentalista
Q178197	mercenario	mercenaria
Q3333377	mesoamericanista	mesoamericanista
Q1924915	metalógrafo	metalógrafa
Q2310145	meteorólogo	meteoróloga
Q26425137	micenólogo	micenóloga
Q2487799	micólogo	micóloga
Q3779582	microbiólogo	microbióloga
Q25123845	micropaleontólogo	micropaleontóloga
Q17010072	militante	militante
Q47064	militar	militar
Q674067	mimo	mimo
Q820037	minero	minera
Q13416354	mineralogista	mineralogista
Q47494964	miniaturista	miniaturista
Q1423891	ministro	ministra
Q27924982	miriapodólogo	miriapodólogo
Q219477	misionero	misionera
Q12328016	místico	mística
Q24387326	mitógrafo	mitógrafa
Q16724455	mitógrafo	mitógrafa
Q10331372	Modelista	Modelista
Q4610556	modelo	modelo
Q16961937	moderador	moderadora
Q18199649	modisto	modista
Q694116	molinero	molinera
Q116	monarca	monarca
Q19829967	mongolista	mongolista
Q3320963	monitor-educador	monitora-educadora
Q28146366	monja	monja
Q6901699	monologuista	monologuista
Q9149093	montañero	montañera
Q1297719	moralista	moralista
Q282718	mosaiquista	mosaiquista
Q45787133	motociclista	motociclista
Q890103	mula	mula
Q3374326	muralista	muralista
Q28971990	murguista	murguista
Q10333969	museólogo	museóloga
Q500097	musher	musher
Q639669	músico	música
Q14915627	musicólogo	musicóloga
Q10843402	nadador	nadadora
Q936969	nana	nana
Q10384029	narcotraficante	narcotraficante
Q755070	narrador	narradora
Q18805	naturalista	naturalista
Q185878	navarco	navarca
Q20739489	nefrólogo	nefróloga
Q21491495	nematólogo	nematóloga
Q28569455	neonatólogo	neonatóloga
Q20739288	neurobiólogo	neurobióloga
Q6337803	neurocientífico	neurocientífica
Q9385011	neurocirujano	neurocirujana
Q2794135	neurointensivista	neurointensivista
Q783906	neurólogo	neuróloga
Q15839237	neuropatólogo	neuropatóloga
Q19826744	neuropsiquiatra	neuropsiquiatra
Q9402	ninja	ninja
Q6625963	novelista	novelista
Q2004963	numismático	numismática
Q2576499	nutricionista	nutricionista
Q16003954	oboísta	oboísta
Q19937286	obrero	obrera
Q13638192	obstetra	obstetra
Q3546255	oceanógrafo	oceanógrafa
Q12797895	ocultista	ocultista
Q189290	oficial	oficial
Q738142	oficinista	oficinista
Q12013238	oftalmólogo	oftalmóloga
Q2006045	oligarca	oligarca
Q16062369	oncólogo	oncóloga
